,cant_loose_id
0,12346
1,12380
2,12482
3,12510
4,12891
5,12932
6,13044
7,13313
8,13680
9,13782
10,13799
11,13856
12,14025
13,14063
14,14160
15,14221
16,14548
17,14607
18,14685
19,14745
20,15003
21,15013
22,15015
23,15125
24,15141
25,15222
26,15306
27,15321
28,15359
29,15369
30,15372
31,15443
32,15538
33,15607
34,15633
35,15722
36,15751
37,15754
38,15768
39,15911
40,15912
41,16027
42,16032
43,16158
44,16177
45,16197
46,16335
47,16467
48,16631
49,16742
50,16743
51,16875
52,16986
53,17021
54,17032
55,17092
56,17113
57,17157
58,17188
59,17230
60,17268
61,17426
62,17448
63,17454
64,17512
65,17578
66,17602
67,17651
68,17940
69,17969
70,17988
71,18009
72,18051
73,18064
74,18094
75,18251
76,18258
