Customer ID,Recency,Frequency,Monetary,Segment
12346,529,11,372.86,cant_loose
12347,367,2,1323.32,potential_loyalists
12348,438,1,222.16,hibernating
12349,407,3,2671.1400000000003,need_attention
12351,375,1,300.93,new_customers
12352,375,2,343.79999999999995,potential_loyalists
12353,408,1,317.75999999999993,about_to_sleep
12355,567,1,488.21,hibernating
12356,380,3,3562.2499999999995,potential_loyalists
12357,388,2,12079.990000000002,potential_loyalists
12358,375,3,2719.01,potential_loyalists
12359,425,6,2563.36,loyal_customers
12360,379,5,1590.83,champions
12361,462,3,321.35,at_risk
12362,738,1,130.0,hibernating
12366,633,1,500.24,hibernating
12368,628,1,917.6999999999999,hibernating
12369,413,3,1791.1499999999999,need_attention
12370,624,3,774.62,at_risk
12371,409,3,2179.42,need_attention
12373,624,2,763.0500000000001,hibernating
12374,421,3,2246.29,need_attention
12376,389,2,503.15000000000003,potential_loyalists
12377,381,2,1798.2,potential_loyalists
12378,562,1,1407.7,hibernating
12379,422,2,767.98,about_to_sleep
12380,465,7,6951.49,cant_loose
12385,379,1,1938.3999999999999,new_customers
12386,366,1,258.9,new_customers
12387,415,1,143.94,about_to_sleep
12388,445,2,1120.45,hibernating
12389,402,3,1433.33,need_attention
12391,464,5,2312.5299999999997,at_risk
12392,591,1,234.75000000000003,hibernating
12393,382,2,816.8500000000001,potential_loyalists
12395,371,4,2048.6400000000003,champions
12396,674,1,931.4300000000001,hibernating
12399,385,3,853.65,potential_loyalists
12400,414,1,205.25,about_to_sleep
12402,392,5,1031.3000000000002,loyal_customers
12403,521,1,591.6600000000001,hibernating
12404,682,1,63.24,hibernating
12406,399,3,2975.0599999999995,potential_loyalists
12408,385,3,1452.2199999999998,potential_loyalists
12409,420,4,12346.619999999999,loyal_customers
12410,502,1,320.38,hibernating
12411,409,1,346.9,about_to_sleep
12412,402,3,1370.0500000000002,need_attention
12413,402,1,241.35,about_to_sleep
12414,463,3,390.0,at_risk
12415,375,7,19543.84,champions
12416,656,1,202.56,hibernating
12417,410,11,3167.81,loyal_customers
12418,413,3,1352.62,need_attention
12419,385,2,503.01,potential_loyalists
12421,415,2,291.56,about_to_sleep
12422,394,14,4428.24,loyal_customers
12423,387,2,763.08,potential_loyalists
12424,422,2,1579.0700000000006,about_to_sleep
12425,448,1,964.2099999999999,hibernating
12426,662,1,762.4800000000002,hibernating
12427,371,1,303.5,new_customers
12429,365,5,3735.5099999999998,champions
12431,373,13,4370.52,champions
12433,366,5,7205.389999999999,champions
12434,381,1,297.29,promising
12435,396,4,6096.040000000001,loyal_customers
12437,395,21,7731.99,loyal_customers
12439,682,2,1158.18,hibernating
12440,462,2,859.1999999999999,hibernating
12441,366,1,173.55,new_customers
12443,732,1,485.31,hibernating
12445,420,1,301.58000000000004,about_to_sleep
12449,410,2,768.6,about_to_sleep
12450,399,3,490.32,potential_loyalists
12451,463,3,3634.3599999999997,at_risk
12454,395,4,13151.439999999999,loyal_customers
12455,445,4,3413.09,at_risk
12457,435,1,632.68,about_to_sleep
12458,427,2,830.09,about_to_sleep
12459,605,1,454.3599999999999,hibernating
12460,456,1,326.65,hibernating
12466,682,1,56.73,hibernating
12467,423,1,132.8,about_to_sleep
12468,526,3,2941.2,at_risk
12469,522,2,3070.54,hibernating
12470,689,1,211.95,hibernating
12471,374,49,20139.739999999998,champions
12472,369,13,11308.48,champions
12474,378,13,5048.66,champions
12475,409,1,426.26,about_to_sleep
12476,396,12,7298.99,loyal_customers
12477,399,3,7056.629999999999,potential_loyalists
12480,399,3,2183.2200000000003,potential_loyalists
12481,365,6,6765.07,champions
12482,576,29,23691.4,cant_loose
12483,378,11,2635.6000000000004,champions
