Customer ID,Recency_Score,Frequency_Score,Monetary_Score,Segment
12346,1,1,5,hibernating
12347,5,5,5,champions
12348,2,4,4,at_risk
12349,4,1,4,promising
12350,1,1,2,hibernating
12352,3,5,5,loyal_customers
12353,1,1,1,hibernating
12354,1,1,4,hibernating
12355,1,1,2,hibernating
12356,4,3,5,potential_loyalists
12357,3,1,5,about_to_sleep
12358,5,2,4,potential_loyalists
12359,3,4,5,loyal_customers
12360,3,3,5,need_attention
12361,1,1,1,hibernating
12362,5,5,5,champions
12363,2,2,3,hibernating
12364,5,4,4,champions
12365,1,2,3,hibernating
12367,5,1,1,new_customers
12370,3,4,5,loyal_customers
12371,3,2,4,about_to_sleep
12372,3,3,4,need_attention
12373,1,1,2,hibernating
12374,4,1,3,promising
12375,5,2,2,potential_loyalists
12377,1,2,4,hibernating
12378,2,1,5,hibernating
12379,2,2,3,hibernating
12380,4,4,5,loyal_customers
12381,5,4,4,champions
12383,1,4,4,at_risk
12384,4,2,3,potential_loyalists
12386,1,2,2,hibernating
12388,4,4,5,loyal_customers
12390,2,1,3,hibernating
12391,4,1,2,promising
12393,2,4,4,at_risk
12394,3,2,4,about_to_sleep
12395,4,5,5,loyal_customers
12397,3,2,5,about_to_sleep
12398,3,1,4,about_to_sleep
12399,2,4,4,at_risk
12401,1,1,1,hibernating
12402,1,1,1,hibernating
12403,3,1,2,about_to_sleep
12405,2,1,4,hibernating
12406,4,2,5,potential_loyalists
12407,3,4,4,loyal_customers
12408,4,4,5,loyal_customers
12409,2,3,5,at_risk
12410,1,2,3,hibernating
12412,2,3,4,at_risk
12413,3,3,3,need_attention
12414,1,3,3,at_risk
12415,4,5,5,loyal_customers
12417,5,5,5,champions
12418,2,1,3,hibernating
12420,3,1,3,about_to_sleep
12421,4,4,3,loyal_customers
12422,2,3,3,at_risk
12423,5,5,4,champions
12424,2,2,4,hibernating
12425,2,1,3,hibernating
12426,1,1,3,hibernating
12427,4,3,3,potential_loyalists
12428,4,5,5,loyal_customers
12429,5,4,5,champions
12430,3,1,2,about_to_sleep
12431,3,5,5,loyal_customers
12432,3,4,5,loyal_customers
12433,5,5,5,champions
12434,2,2,3,hibernating
12435,2,2,5,hibernating
12436,2,1,3,hibernating
12437,5,5,5,champions
12438,4,2,5,potential_loyalists
12441,1,1,1,hibernating
12442,5,1,1,new_customers
12444,4,4,5,loyal_customers
12445,4,1,1,promising
12446,3,1,4,about_to_sleep
12447,1,1,2,hibernating
12448,3,1,2,about_to_sleep
12449,4,4,5,loyal_customers
12450,2,2,1,hibernating
12451,5,4,5,champions
12452,4,2,2,potential_loyalists
12453,2,1,3,hibernating
12454,3,1,5,about_to_sleep
12455,2,4,5,at_risk
