Customer ID,Recency_Score,Frequency_Score,Monetary_Score,Segment,RFM_Score
12346,1,1,5,hibernating,11
12347,5,5,5,champions,55
12349,4,1,4,promising,41
12350,1,1,2,hibernating,11
12352,3,5,5,loyal_customers,35
12353,1,1,1,hibernating,11
12354,1,1,4,hibernating,11
12355,1,1,2,hibernating,11
12356,4,3,5,potential_loyalists,43
12357,3,1,5,about_to_sleep,31
12358,5,2,4,potential_loyalists,52
12359,3,4,5,loyal_customers,34
12360,3,3,5,need_attention,33
12361,1,1,1,hibernating,11
12362,5,5,5,champions,55
12363,2,2,3,hibernating,22
12364,5,4,4,champions,54
12365,1,2,3,hibernating,12
12367,5,1,1,new_customers,51
12370,3,4,5,loyal_customers,34
12371,3,2,4,about_to_sleep,32
12372,3,3,4,need_attention,33
12373,1,1,2,hibernating,11
12374,4,1,3,promising,41
12375,5,2,2,potential_loyalists,52
12377,1,2,4,hibernating,12
12378,2,1,5,hibernating,21
12379,2,2,3,hibernating,22
12380,4,4,5,loyal_customers,44
12381,5,4,4,champions,54
12384,4,2,3,potential_loyalists,42
12386,1,2,2,hibernating,12
12388,4,4,5,loyal_customers,44
12390,2,1,3,hibernating,21
12391,4,1,2,promising,41
12394,3,2,4,about_to_sleep,32
12395,4,5,5,loyal_customers,45
12397,3,2,5,about_to_sleep,32
12398,3,1,4,about_to_sleep,31
12401,1,1,1,hibernating,11
12402,1,1,1,hibernating,11
12403,3,1,2,about_to_sleep,31
12405,2,1,4,hibernating,21
12406,4,2,5,potential_loyalists,42
12407,3,4,4,loyal_customers,34
12408,4,4,5,loyal_customers,44
12410,1,2,3,hibernating,12
12413,3,3,3,need_attention,33
12415,4,5,5,loyal_customers,45
12417,5,5,5,champions,55
12418,2,1,3,hibernating,21
12420,3,1,3,about_to_sleep,31
12421,4,4,3,loyal_customers,44
12423,5,5,4,champions,55
12424,2,2,4,hibernating,22
12425,2,1,3,hibernating,21
12426,1,1,3,hibernating,11
12427,4,3,3,potential_loyalists,43
12428,4,5,5,loyal_customers,45
12429,5,4,5,champions,54
12430,3,1,2,about_to_sleep,31
12431,3,5,5,loyal_customers,35
12432,3,4,5,loyal_customers,34
12433,5,5,5,champions,55
12434,2,2,3,hibernating,22
12435,2,2,5,hibernating,22
12436,2,1,3,hibernating,21
12437,5,5,5,champions,55
12438,4,2,5,potential_loyalists,42
12441,1,1,1,hibernating,11
12442,5,1,1,new_customers,51
12444,4,4,5,loyal_customers,44
12445,4,1,1,promising,41
12446,3,1,4,about_to_sleep,31
12447,1,1,2,hibernating,11
12448,3,1,2,about_to_sleep,31
12449,4,4,5,loyal_customers,44
12450,2,2,1,hibernating,22
12451,5,4,5,champions,54
12452,4,2,2,potential_loyalists,42
12453,2,1,3,hibernating,21
12454,3,1,5,about_to_sleep,31
12456,3,3,5,need_attention,33
12457,3,5,5,loyal_customers,35
12458,3,2,4,about_to_sleep,32
12461,2,2,3,hibernating,22
12462,4,2,4,potential_loyalists,42
12463,3,4,4,loyal_customers,34
12464,5,5,4,champions,55
12465,4,2,3,potential_loyalists,42
12468,1,2,3,hibernating,12
12471,5,5,5,champions,55
12472,4,5,5,loyal_customers,45
12473,4,4,5,loyal_customers,44
12474,4,5,5,loyal_customers,45
12475,3,1,3,about_to_sleep,31
12476,4,5,5,loyal_customers,45
12477,4,4,5,loyal_customers,44
12478,5,1,3,new_customers,51
12479,5,1,3,new_customers,51
12480,4,4,5,loyal_customers,44
12481,4,5,5,loyal_customers,45
12483,4,5,5,loyal_customers,45
12484,4,4,5,loyal_customers,44
12488,5,3,4,potential_loyalists,53
12489,1,1,2,hibernating,11
12490,5,5,5,champions,55
12491,3,1,2,about_to_sleep,31
12492,3,2,2,about_to_sleep,32
12493,2,2,2,hibernating,22
12494,4,5,4,loyal_customers,45
12497,2,1,4,hibernating,21
12498,4,3,2,potential_loyalists,43
12500,4,5,5,loyal_customers,45
12501,1,1,5,hibernating,11
12504,4,2,2,potential_loyalists,42
12506,1,1,1,hibernating,11
12508,4,2,2,potential_loyalists,42
12509,1,1,1,hibernating,11
12510,2,2,4,hibernating,22
12512,3,2,1,about_to_sleep,32
12513,2,1,3,hibernating,21
12514,1,1,4,hibernating,11
12515,1,1,2,hibernating,11
12516,2,2,4,hibernating,22
12517,4,4,5,loyal_customers,44
12518,5,4,4,champions,54
12519,3,1,2,about_to_sleep,31
12521,2,1,3,hibernating,21
12522,3,2,1,about_to_sleep,32
12523,4,5,4,loyal_customers,45
12524,5,5,5,champions,55
12526,5,3,4,potential_loyalists,53
12528,5,5,4,champions,55
12530,3,4,4,loyal_customers,34
12531,4,1,1,promising,41
12532,4,1,2,promising,41
12534,2,1,4,hibernating,21
12535,2,2,3,hibernating,22
12536,3,3,5,need_attention,33
12538,4,1,2,promising,41
12539,4,4,5,loyal_customers,44
12540,4,5,5,loyal_customers,45
12541,4,3,4,potential_loyalists,43
12544,3,1,2,about_to_sleep,31
12545,2,2,4,hibernating,22
12546,3,2,4,about_to_sleep,32
12547,1,2,1,hibernating,12
