Customer ID,Recency,Frequency,Monetary,Segment
12346,325,1,77183.6,hibernating
12347,2,7,4310.0,champions
12348,75,4,1797.24,at_risk
12349,18,1,1757.55,promising
12350,310,1,334.4,hibernating
12352,36,8,2506.04,loyal_customers
12353,204,1,89.0,hibernating
12354,232,1,1079.4,hibernating
12355,214,1,459.4,hibernating
12356,22,3,2811.43,potential_loyalists
12357,33,1,6207.67,about_to_sleep
12358,1,2,1168.06,potential_loyalists
12359,57,4,6372.58,loyal_customers
12360,52,3,2662.06,need_attention
12361,287,1,189.9,hibernating
12362,3,10,5226.23,champions
12363,109,2,552.0,hibernating
12364,7,4,1313.1,champions
12365,291,2,641.38,hibernating
12367,4,1,168.9,new_customers
12370,51,4,3545.69,loyal_customers
12371,44,2,1887.96,about_to_sleep
12372,71,3,1298.04,need_attention
12373,311,1,364.6,hibernating
12374,25,1,742.93,promising
12375,10,2,457.5,potential_loyalists
12377,315,2,1628.12,hibernating
12378,129,1,4008.62,hibernating
12379,81,2,852.24,hibernating
12380,21,4,2724.81,loyal_customers
12381,4,5,1845.31,champions
12383,184,5,1850.56,at_risk
12384,28,2,585.27,potential_loyalists
12386,337,2,401.9,hibernating
12388,15,6,2780.66,loyal_customers
12390,79,1,549.84,hibernating
12391,21,1,460.89,promising
12393,72,4,1582.6,at_risk
12394,63,2,1272.48,about_to_sleep
12395,19,12,3018.63,loyal_customers
12397,35,2,2409.9,about_to_sleep
12398,45,1,1635.66,about_to_sleep
12399,119,4,1108.65,at_risk
12401,303,1,84.3,hibernating
12402,323,1,225.6,hibernating
12403,49,1,427.7,about_to_sleep
12405,148,1,1710.39,hibernating
12406,22,2,3415.3,potential_loyalists
12407,49,5,1708.12,loyal_customers
12408,32,5,2888.55,loyal_customers
12409,78,3,11072.67,at_risk
12410,308,2,693.33,hibernating
12412,74,3,1226.88,at_risk
12413,66,3,758.1,need_attention
12414,217,3,562.41,at_risk
12415,24,21,124914.53,loyal_customers
12417,3,9,3649.1,champions
12418,112,1,668.58,hibernating
12420,63,1,600.39,about_to_sleep
12421,15,4,807.04,loyal_customers
12422,95,3,803.56,at_risk
12423,0,8,1859.31,champions
12424,162,2,1760.96,hibernating
12425,78,1,777.2,hibernating
12426,194,1,582.73,hibernating
12427,21,3,825.8,potential_loyalists
12428,25,9,7956.46,loyal_customers
12429,9,4,3750.4,champions
12430,43,1,256.4,about_to_sleep
12431,35,15,6487.45,loyal_customers
12432,42,5,5059.32,loyal_customers
12433,0,7,13375.87,champions
12434,84,2,806.14,hibernating
12435,79,2,7829.89,hibernating
12436,99,1,509.01,hibernating
12437,1,18,4951.41,champions
12438,14,2,2906.85,potential_loyalists
12441,366,1,173.55,hibernating
12442,3,1,172.06,new_customers
12444,21,5,5005.46,loyal_customers
12445,22,1,133.4,promising
12446,57,1,1002.31,about_to_sleep
12447,243,1,476.49,hibernating
12448,44,1,449.45,about_to_sleep
12449,22,4,4067.29,loyal_customers
12450,156,2,197.88,hibernating
12451,10,5,9035.52,champions
12452,16,2,430.57,potential_loyalists
12453,134,1,707.09,hibernating
12454,56,1,3528.34,about_to_sleep
12455,73,6,2466.86,at_risk
12456,44,3,3181.04,need_attention
12457,66,7,2363.23,loyal_customers
12458,71,2,947.4,about_to_sleep
12461,94,2,826.88,hibernating
12462,18,2,1189.59,potential_loyalists
12463,53,4,1344.78,loyal_customers
12464,10,8,1212.05,champions
12465,17,2,742.19,potential_loyalists
12468,187,2,729.54,hibernating
12471,2,30,19824.05,champions
12472,32,7,6572.11,loyal_customers
12473,29,5,3938.55,loyal_customers
12474,17,18,7375.79,loyal_customers
12475,53,1,723.38,about_to_sleep
12476,15,11,6816.42,loyal_customers
12477,22,6,13219.74,loyal_customers
12478,3,1,680.99,new_customers
12479,11,1,527.2,new_customers
12480,28,4,3281.63,loyal_customers
12481,22,10,5596.32,loyal_customers
12483,17,8,2484.98,loyal_customers
12484,32,6,4541.72,loyal_customers
12488,9,3,1298.66,potential_loyalists
12489,336,1,334.93,hibernating
12490,5,10,5417.93,champions
12491,38,1,460.4,about_to_sleep
12492,63,2,263.21,about_to_sleep
12493,165,2,433.74,hibernating
12494,15,7,1246.1,loyal_customers
12497,81,1,1043.1,hibernating
12498,21,3,403.7,potential_loyalists
12500,23,11,4257.82,loyal_customers
12501,336,1,2169.39,hibernating
12502,95,5,3723.87,at_risk
12504,18,2,482.05,potential_loyalists
12506,232,1,73.5,hibernating
12507,134,3,1304.81,at_risk
12508,26,2,398.27,potential_loyalists
12509,284,1,176.5,hibernating
12510,142,2,982.57,hibernating
12512,66,2,138.03,about_to_sleep
12513,112,1,612.29,hibernating
12514,267,1,1017.68,hibernating
12515,353,1,383.7,hibernating
12516,77,2,1312.06,hibernating
12517,28,5,2502.84,loyal_customers
